"","freq","prev","p.freq","p.prev","p","contaminant"
"ASV_47",0.00303331802549224,131,NA,0.338709677419355,0.338709677419355,FALSE
"ASV_48",0.00464926565701262,177,NA,0.416666666666667,0.416666666666667,FALSE
"ASV_49",0.0035378418081545,90,NA,0.458333333333333,0.458333333333333,FALSE
"ASV_50",0.00385557673524532,57,NA,0.076923076923077,0.076923076923077,TRUE
"ASV_51",0.00455358758166783,173,NA,0.4375,0.4375,FALSE
"ASV_52",0.00594847372420836,57,NA,0.0476190476190476,0.0476190476190476,TRUE
"ASV_53",0.00425155033195882,179,NA,0.458333333333333,0.458333333333333,FALSE
"ASV_54",0.00378877222750232,97,NA,0.3125,0.3125,FALSE
"ASV_55",0.00398755496112967,141,NA,0.25,0.25,FALSE
"ASV_56",0.00315462336772363,113,NA,0.666666666666667,0.666666666666667,FALSE
"ASV_57",0.0028965437461131,80,NA,0.142857142857143,0.142857142857143,FALSE
"ASV_58",0.0022952603486934,74,NA,0.1875,0.1875,FALSE
"ASV_59",0.0033415714074791,179,NA,0.458333333333333,0.458333333333333,FALSE
"ASV_60",0.00309082861486272,179,NA,0.476190476190476,0.476190476190476,FALSE
"ASV_61",0.00316746842011232,74,NA,0.0952380952380953,0.0952380952380953,TRUE
"ASV_62",0.00211018010866013,88,NA,0.142857142857143,0.142857142857143,FALSE
"ASV_63",0.00175403345428781,51,NA,0.0714285714285714,0.0714285714285714,TRUE
"ASV_64",0.0028138707862057,54,NA,0.0833333333333333,0.0833333333333333,TRUE
"ASV_65",0.00134136447496326,55,NA,0.571428571428572,0.571428571428572,FALSE
"ASV_66",0.0030418189986607,173,NA,0.464285714285714,0.464285714285714,FALSE
"ASV_67",0.00514452174541423,97,NA,0.0952380952380953,0.0952380952380953,TRUE
"ASV_68",0.00203806051860403,71,NA,0.25,0.25,FALSE
"ASV_69",0.00287404865902669,180,NA,0.458333333333333,0.458333333333333,FALSE
"ASV_71",0.00169780066336947,75,NA,0.0714285714285714,0.0714285714285714,TRUE
"ASV_73",0.00223712609579079,146,NA,0.3125,0.3125,FALSE
"ASV_74",0.00229364152995374,75,NA,0.0476190476190476,0.0476190476190476,TRUE
"ASV_75",0.00242645679118478,173,NA,0.4375,0.4375,FALSE
"ASV_76",0.00201490436406377,118,NA,0.291666666666667,0.291666666666667,FALSE
"ASV_77",0.00247483162234056,77,NA,0.25,0.25,FALSE
"ASV_78",0.00233765380686716,31,NA,0.0833333333333333,0.0833333333333333,TRUE
"ASV_79",0.00258932201366029,171,NA,0.428571428571428,0.428571428571428,FALSE
"ASV_80",0.00106798744039777,40,NA,0.0476190476190476,0.0476190476190476,TRUE
"ASV_81",0.00184296465009062,61,NA,0.564516129032258,0.564516129032258,FALSE
"ASV_82",0.00309968530425757,67,NA,0.583333333333333,0.583333333333333,FALSE
"ASV_83",0.00169055513348998,50,NA,0.571428571428572,0.571428571428572,FALSE
"ASV_84",0.00146246916899385,81,NA,0.580645161290323,0.580645161290323,FALSE
"ASV_85",0.0019566633217532,163,NA,0.380952380952381,0.380952380952381,FALSE
"ASV_86",0.00167071427603917,50,NA,0.547619047619048,0.547619047619048,FALSE
"ASV_87",0.00416292639354428,33,NA,0.0967741935483871,0.0967741935483871,TRUE
"ASV_88",0.000385274466978024,44,NA,0.125,0.125,FALSE
"ASV_89",0.000784832524606326,59,NA,0.166666666666667,0.166666666666667,FALSE
"ASV_90",0.000715116308045212,108,NA,0.269230769230769,0.269230769230769,FALSE
"ASV_91",0.00150057452211579,80,NA,0.125,0.125,FALSE
"ASV_92",0.00141495153588474,33,NA,0.125,0.125,FALSE
"ASV_93",0.00150384953013556,50,NA,0.0476190476190476,0.0476190476190476,TRUE
"ASV_94",0.00140917529861554,93,NA,0.291666666666667,0.291666666666667,FALSE
"ASV_95",0.00159068921769027,61,NA,0.458333333333333,0.458333333333333,FALSE
"ASV_96",0.0010417996576119,71,NA,0.0714285714285714,0.0714285714285714,TRUE
"ASV_97",0.00163331431377453,148,NA,0.333333333333333,0.333333333333333,FALSE
"ASV_98",0.00247281499199163,61,NA,0.0476190476190476,0.0476190476190476,TRUE
"ASV_99",0.00109167698737706,153,NA,0.285714285714286,0.285714285714286,FALSE
"ASV_100",0.000160504795738438,20,NA,0.125,0.125,FALSE
"ASV_101",0.00116396387091221,58,NA,0.571428571428571,0.571428571428571,FALSE
"ASV_102",0.00115413043783269,85,NA,0.25,0.25,FALSE
"ASV_103",0.0011090215147852,111,NA,0.0714285714285714,0.0714285714285714,TRUE
"ASV_104",0.00156128231821438,160,NA,0.375,0.375,FALSE
"ASV_105",0.00132942718769468,43,NA,0.145161290322581,0.145161290322581,FALSE
"ASV_106",0.000353588883877452,31,NA,0.166666666666667,0.166666666666667,FALSE
"ASV_107",0.00119597450674527,108,NA,0.1875,0.1875,FALSE
"ASV_108",0.00109888001337763,34,NA,0.5,0.5,FALSE
"ASV_109",0.00108288181946718,89,NA,0.119047619047619,0.119047619047619,FALSE
"ASV_110",0.00115031250220401,67,NA,0.547619047619048,0.547619047619048,FALSE
"ASV_111",0.00107547680819319,73,NA,0.0952380952380953,0.0952380952380953,TRUE
