"","freq","prev","p.freq","p.prev","p","contaminant"
"ASV_4355",5.0277277166479e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4356",1.00111895296221e-05,17,NA,0.621979625930008,0.621979625930008,FALSE
"ASV_4357",1.28960270858705e-05,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4358",1.18820173909022e-05,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4359",1.62791023668706e-05,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4360",1.34656313090474e-05,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4361",1.61120176479673e-05,11,NA,0.581509196748416,0.581509196748416,FALSE
"ASV_4362",9.07899191110366e-06,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4363",1.60036228796113e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4364",6.86569199451215e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4365",7.0378568043087e-06,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4366",6.43457575131734e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4367",1.12797961669138e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4368",1.3644145974273e-05,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4369",5.97315645124593e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4370",1.15415578655493e-05,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4371",2.44699463688953e-05,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4372",1.18493097941977e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4373",2.94803596000422e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4375",2.25369997956095e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4377",1.27059969519667e-05,12,NA,0.588445508404519,0.588445508404519,FALSE
"ASV_4378",1.368768228311e-05,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4379",1.27091529567168e-05,11,NA,0.581509196748416,0.581509196748416,FALSE
"ASV_4380",7.60534065051904e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4381",8.18556269166392e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4384",9.84341509096849e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4385",9.84162167752017e-06,12,NA,0.588445508404519,0.588445508404519,FALSE
"ASV_4386",9.31666971076073e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4387",8.82703975965416e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4388",7.37667183167186e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4389",8.36885819019146e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4390",8.11651792493455e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4392",6.70559172045817e-06,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4394",7.44802765955827e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4395",1.39198810227714e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4396",7.25348833020043e-06,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4397",3.17648603659451e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4398",1.64277298502702e-05,11,NA,0.581509196748416,0.581509196748416,FALSE
"ASV_4399",7.29540271618924e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4400",1.2957506901159e-05,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4401",1.258518433668e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4402",2.03803795707546e-05,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4403",1.0768471303534e-05,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4404",1.4777655840243e-05,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4405",7.0274692256525e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4406",1.03515421290952e-05,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4407",9.7223511753102e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4410",9.04574941379783e-06,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4411",1.40011832818129e-05,12,NA,0.588445508404519,0.588445508404519,FALSE
"ASV_4412",7.43654769540104e-06,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4413",6.84328293046216e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4414",1.18461546059314e-05,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4416",5.78870295971924e-06,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4417",7.82853766517746e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4418",1.04708308007847e-05,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4419",1.24640157965218e-05,11,NA,0.581509196748416,0.581509196748416,FALSE
"ASV_4420",1.0940502879088e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4421",2.16104056370038e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4422",4.15839028945025e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4423",3.45675456669037e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4426",5.83005516054978e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4427",7.9065161649255e-06,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4428",6.35328441496848e-05,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4430",1.97442392049748e-05,15,NA,0.608793744833287,0.608793744833287,FALSE
"ASV_4432",4.81814799688025e-06,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4433",7.00738368109217e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4434",6.31661344854424e-06,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4435",1.1131474316416e-05,11,NA,0.581509196748416,0.581509196748416,FALSE
"ASV_4436",5.81477929601555e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4437",7.93212659917625e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4438",6.14293743197553e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4439",1.15733368219645e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4441",1.02689676722237e-05,14,NA,0.602087351887572,0.602087351887572,FALSE
"ASV_4444",6.65419762512932e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4445",1.20007610456878e-05,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4446",1.09433991268317e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4448",1.11140339344141e-05,14,NA,0.602087351887572,0.602087351887572,FALSE
"ASV_4449",2.23763697280469e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4450",4.567007792552e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4451",1.44830988411463e-05,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4452",1.15179337265089e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4457",5.3572399490788e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4458",5.28464662597779e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4459",9.91583031206355e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4460",8.03103939935095e-06,12,NA,0.588445508404519,0.588445508404519,FALSE
"ASV_4461",1.070688966344e-05,12,NA,0.588445508404519,0.588445508404519,FALSE
"ASV_4462",9.5662641865347e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4463",6.53408454586531e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4464",1.13230781703034e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4465",7.87688162317173e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4466",1.08234111529471e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4467",1.30957870262785e-05,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4468",1.02287521529417e-05,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4470",1.91953253358806e-05,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4471",1.84706019786576e-05,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4472",1.11530144391151e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4473",6.8898104643754e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4474",1.11787458476706e-05,12,NA,0.588445508404519,0.588445508404519,FALSE
